,P10_8_1_Yes,P10_8_1_No,P10_8_2_Yes,P10_8_2_No,P10_8_3_Yes,P10_8_3_No,P10_8_4_Yes,P10_8_4_No,P10_8_5_Yes,P10_8_5_No,P10_8_6_Yes,P10_8_6_No,P10_8_7_Yes,P10_8_7_No,P10_8_8_Yes,P10_8_8_No,P10_8_9_Yes,P10_8_9_No,P10_8_10_Yes,P10_8_10_No,P10_8_11_Yes,P10_8_11_No,P10_8_12_Yes,P10_8_12_No,P10_8_13_Yes,P10_8_13_No,P10_8_14_Yes,P10_8_14_No,P10_8_15_1,P10_8_15_2,P10_8_15_3,P10_8_15_4
P3_8_A1,1102,14633,1584,14151,147,15588,958,14777,1361,14374,567,15168,1228,14507,578,15157,1475,14260,196,15539,347,15388,7422,8313,6849,573,6865,557,363,86,30,78
P3_8_B1,150,1645,222,1573,17,1778,132,1663,178,1617,96,1699,180,1615,88,1707,190,1605,28,1767,38,1757,807,988,737,70,737,70,28,28,6,8
P3_8_C1,70,780,108,742,14,836,63,787,94,756,47,803,81,769,50,800,106,744,9,841,27,823,420,430,374,46,390,30,2,21,3,4
P3_8_A2,54,754,85,723,12,796,42,766,69,739,27,781,59,749,25,783,73,735,10,798,23,785,370,438,336,34,339,31,20,6,1,4
P3_8_B2,10,110,15,105,2,118,9,111,16,104,9,111,11,109,6,114,13,107,2,118,3,117,63,57,54,9,56,7,4,2,0,1
P3_8_C2,1,13,3,11,1,13,2,12,4,10,1,13,2,12,0,14,1,13,0,14,1,13,7,7,6,1,7,0,0,0,0,0
