,P10_8_1_Yes,P10_8_1_No,P10_8_2_Yes,P10_8_2_No,P10_8_3_Yes,P10_8_3_No,P10_8_4_Yes,P10_8_4_No,P10_8_5_Yes,P10_8_5_No,P10_8_6_Yes,P10_8_6_No,P10_8_7_Yes,P10_8_7_No,P10_8_8_Yes,P10_8_8_No,P10_8_9_Yes,P10_8_9_No,P10_8_10_Yes,P10_8_10_No,P10_8_11_Yes,P10_8_11_No,P10_8_12_Yes,P10_8_12_No,P10_8_13_Yes,P10_8_13_No,P10_8_14_Yes,P10_8_14_No,P10_8_15_1,P10_8_15_2,P10_8_15_3,P10_8_15_4
DOMINIO_U,694,7434,984,7144,88,8040,579,7549,877,7251,396,7732,674,7454,368,7760,883,7245,130,7998,225,7903,4140,3988,3793,347,3866,274,150,56,20,48
DOMINIO_R,350,5610,533,5427,54,5906,325,5635,441,5519,176,5784,494,5466,169,5791,497,5463,59,5901,104,5856,2417,3543,2221,196,2183,234,158,40,9,27
DOMINIO_C,343,4891,500,4734,51,5183,302,4932,404,4830,175,5059,393,4841,210,5024,478,4756,56,5178,110,5124,2532,2702,2342,190,2345,187,109,47,11,20
