,P10_8_1_Yes,P10_8_1_No,P10_8_2_Yes,P10_8_2_No,P10_8_3_Yes,P10_8_3_No,P10_8_4_Yes,P10_8_4_No,P10_8_5_Yes,P10_8_5_No,P10_8_6_Yes,P10_8_6_No,P10_8_7_Yes,P10_8_7_No,P10_8_8_Yes,P10_8_8_No,P10_8_9_Yes,P10_8_9_No,P10_8_10_Yes,P10_8_10_No,P10_8_11_Yes,P10_8_11_No,P10_8_12_Yes,P10_8_12_No,P10_8_13_Yes,P10_8_13_No,P10_8_14_Yes,P10_8_14_No,P10_8_15_1,P10_8_15_2,P10_8_15_3,P10_8_15_4
P10_1_1,533,5948,738,5743,71,6410,458,6023,660,5821,292,6189,535,5946,259,6222,713,5768,94,6387,167,6314,3259,3222,2989,270,3051,208,119,38,14,37
P10_1_2,20,306,22,304,2,324,14,312,22,304,10,316,20,306,13,313,16,310,4,322,10,316,119,207,114,5,113,6,4,1,0,1
P10_1_3,47,745,67,725,7,785,47,745,59,733,24,768,45,747,17,775,47,745,5,787,19,773,512,280,475,37,480,32,30,1,0,1
P10_1_4,10,133,9,134,1,142,7,136,6,137,3,140,7,136,5,138,6,137,2,141,2,141,90,53,83,7,85,5,5,0,0,0
P10_1_5,7,111,11,107,1,117,7,111,9,109,7,111,7,111,3,115,3,115,0,118,3,115,66,52,59,7,61,5,2,2,0,1
P10_1_6,256,3479,388,3347,45,3690,214,3521,294,3441,119,3616,287,3448,134,3601,384,3351,44,3691,72,3663,1528,2207,1387,141,1372,156,99,34,8,15
P10_1_7,6,255,11,250,0,261,4,257,11,250,2,259,7,254,4,257,5,256,3,258,10,251,190,71,176,14,186,4,2,1,1,0
P10_1_8,28,322,25,325,0,350,18,332,34,316,14,336,29,321,15,335,35,315,6,344,4,346,136,214,129,7,126,10,7,2,1,0
P10_1_9,492,6932,761,6663,69,7355,449,6975,638,6786,282,7142,633,6791,307,7117,662,6762,89,7335,158,7266,3380,4044,3120,260,3101,279,157,66,16,40
